admissionNo,firstName,lastName,classCode,guardianName,guardianRelation,guardianPhone,guardianEmail,academicYear
PAK00078,Om,Chandel,2-RUBY,"Arvind Qureshi",Father,9765000078,arvind.qureshi.78@paramountkasrawad.edu,2025-2026
PAK00079,Nisha,Shah,2-RUBY,"Nirmala Reddy",Parent,9765000079,nirmala.reddy.79@paramountkasrawad.edu,2025-2026
PAK00080,Ravi,Soni,2-RUBY,"Kavita Koshal",Parent,9765000080,kavita.koshal.80@paramountkasrawad.edu,2025-2026
PAK00081,Sonia,Sidhu,2-RUBY,"Umesh Sharma",Guardian,9765000081,umesh.sharma.81@paramountkasrawad.edu,2025-2026
PAK00082,Anjali,Shah,2-RUBY,"Umesh Sidhu",Father,9765000082,umesh.sidhu.82@paramountkasrawad.edu,2025-2026
PAK00083,Saloni,Verma,2-RUBY,"Satish Sharma",Mother,9765000083,satish.sharma.83@paramountkasrawad.edu,2025-2026
PAK00084,Vaishnavi,Dubey,2-RUBY,"Harish Shukla",Mother,9765000084,harish.shukla.84@paramountkasrawad.edu,2025-2026
PAK00085,Pooja,Tiwari,2-RUBY,"Suresh Chaurasia",Parent,9765000085,suresh.chaurasia.85@paramountkasrawad.edu,2025-2026
PAK00086,Imran,Sidhu,2-RUBY,"Kishore Chopra",Parent,9765000086,kishore.chopra.86@paramountkasrawad.edu,2025-2026
PAK00087,Aryan,Soni,2-RUBY,"Naresh Verma",Father,9765000087,naresh.verma.87@paramountkasrawad.edu,2025-2026
PAK00088,Omkar,Rajak,2-RUBY,"Jagdish Desai",Father,9765000088,jagdish.desai.88@paramountkasrawad.edu,2025-2026
PAK00089,Sanskriti,Choudhary,2-RUBY,"Deepa Mehta",Mother,9765000089,deepa.mehta.89@paramountkasrawad.edu,2025-2026
PAK00090,Omkar,Verma,2-RUBY,"Rekha Jadav",Parent,9765000090,rekha.jadav.90@paramountkasrawad.edu,2025-2026
PAK00091,Mona,Pillai,2-RUBY,"Nirmala Chandel",Mother,9765000091,nirmala.chandel.91@paramountkasrawad.edu,2025-2026
PAK00092,Ujjwal,Tiwari,2-RUBY,"Seema Verma",Mother,9765000092,seema.verma.92@paramountkasrawad.edu,2025-2026
PAK00093,Dhruv,Koshal,2-RUBY,"Savita Singh",Father,9765000093,savita.singh.93@paramountkasrawad.edu,2025-2026
PAK00094,Tarun,Malhotra,2-RUBY,"Savita Shah",Parent,9765000094,savita.shah.94@paramountkasrawad.edu,2025-2026
PAK00095,Ekta,Soni,2-RUBY,"Bharat Pillai",Guardian,9765000095,bharat.pillai.95@paramountkasrawad.edu,2025-2026
PAK00096,Laxmi,Saxena,2-RUBY,"Meena Rajput",Mother,9765000096,meena.rajput.96@paramountkasrawad.edu,2025-2026
PAK00097,Jagdish,Desai,2-RUBY,"Bharat Choudhary",Mother,9765000097,bharat.choudhary.97@paramountkasrawad.edu,2025-2026
PAK00098,Neha,Khatri,2-RUBY,"Meena Rajput",Father,9765000098,meena.rajput.98@paramountkasrawad.edu,2025-2026
PAK00099,Qadir,Saxena,2-RUBY,"Kavita Sharma",Parent,9765000099,kavita.sharma.99@paramountkasrawad.edu,2025-2026
PAK00100,Isha,Jadav,2-RUBY,"Harish Koshal",Guardian,9765000100,harish.koshal.100@paramountkasrawad.edu,2025-2026
PAK00101,Arjun,Desai,2-RUBY,"Umesh Khanna",Guardian,9765000101,umesh.khanna.101@paramountkasrawad.edu,2025-2026
PAK00102,Priya,Menon,2-RUBY,"Suresh Kumar",Parent,9765000102,suresh.kumar.102@paramountkasrawad.edu,2025-2026
PAK00103,Arjun,Menon,2-RUBY,"Geeta Rajput",Parent,9765000103,geeta.rajput.103@paramountkasrawad.edu,2025-2026
PAK00104,Anuj,Joshi,2-RUBY,"Rekha Khan",Guardian,9765000104,rekha.khan.104@paramountkasrawad.edu,2025-2026
PAK00105,Mona,Yadav,2-RUBY,"Deepa Pillai",Mother,9765000105,deepa.pillai.105@paramountkasrawad.edu,2025-2026
PAK00106,Mohit,Mishra,2-DIAMOND,"Jagdish Rajak",Mother,9765000106,jagdish.rajak.106@paramountkasrawad.edu,2025-2026
PAK00107,Bhoomika,Menon,2-DIAMOND,"Anil Choudhary",Father,9765000107,anil.choudhary.107@paramountkasrawad.edu,2025-2026
PAK00108,Divya,Farooqui,2-DIAMOND,"Rekha Khan",Parent,9765000108,rekha.khan.108@paramountkasrawad.edu,2025-2026
PAK00109,Ajay,Malhotra,2-DIAMOND,"Anil Singh",Father,9765000109,anil.singh.109@paramountkasrawad.edu,2025-2026
PAK00110,Bhavna,Nair,2-DIAMOND,"Rajesh Singh",Parent,9765000110,rajesh.singh.110@paramountkasrawad.edu,2025-2026
PAK00111,Ajay,Naik,2-DIAMOND,"Suresh Singh",Father,9765000111,suresh.singh.111@paramountkasrawad.edu,2025-2026
PAK00112,Aryan,Yadav,2-DIAMOND,"Jagdish Choudhary",Mother,9765000112,jagdish.choudhary.112@paramountkasrawad.edu,2025-2026
PAK00113,Anjali,Deshmukh,2-DIAMOND,"Gopal Deshmukh",Guardian,9765000113,gopal.deshmukh.113@paramountkasrawad.edu,2025-2026
PAK00114,Qadir,Kumar,2-DIAMOND,"Ashok Mishra",Guardian,9765000114,ashok.mishra.114@paramountkasrawad.edu,2025-2026
PAK00115,Uma,Nair,2-DIAMOND,"Kavita Menon",Guardian,9765000115,kavita.menon.115@paramountkasrawad.edu,2025-2026
PAK00116,Ajay,Upadhyay,2-DIAMOND,"Harish Pandey",Father,9765000116,harish.pandey.116@paramountkasrawad.edu,2025-2026
PAK00117,Vaishnavi,Sidhu,2-DIAMOND,"Meena Sharma",Father,9765000117,meena.sharma.117@paramountkasrawad.edu,2025-2026
PAK00118,Priya,Nair,2-DIAMOND,"Deepa Chandel",Father,9765000118,deepa.chandel.118@paramountkasrawad.edu,2025-2026
PAK00119,Dhruv,Tiwari,2-DIAMOND,"Priya Chopra",Parent,9765000119,priya.chopra.119@paramountkasrawad.edu,2025-2026
PAK00120,Uma,Dubey,2-DIAMOND,"Seema Farooqui",Mother,9765000120,seema.farooqui.120@paramountkasrawad.edu,2025-2026
PAK00121,Sanjeev,Menon,2-DIAMOND,"Deepa Desai",Parent,9765000121,deepa.desai.121@paramountkasrawad.edu,2025-2026
PAK00122,Mohit,Farooqui,2-DIAMOND,"Mahesh Khatri",Father,9765000122,mahesh.khatri.122@paramountkasrawad.edu,2025-2026
PAK00123,Bhoomika,Rao,2-DIAMOND,"Rekha Arora",Mother,9765000123,rekha.arora.123@paramountkasrawad.edu,2025-2026
PAK00124,Divya,Rajput,2-DIAMOND,"Meena Tiwari",Father,9765000124,meena.tiwari.124@paramountkasrawad.edu,2025-2026
PAK00125,Ajay,Grewal,2-DIAMOND,"Arvind Mehta",Mother,9765000125,arvind.mehta.125@paramountkasrawad.edu,2025-2026
PAK00126,Yogesh,Verma,2-DIAMOND,"Harish Rajput",Guardian,9765000126,harish.rajput.126@paramountkasrawad.edu,2025-2026
PAK00127,Tanvi,Chaurasia,2-DIAMOND,"Ashok Dhillon",Mother,9765000127,ashok.dhillon.127@paramountkasrawad.edu,2025-2026
PAK00128,Keerat,Rajput,2-DIAMOND,"Jagdish Shukla",Parent,9765000128,jagdish.shukla.128@paramountkasrawad.edu,2025-2026
PAK00129,Keerat,Dhillon,2-DIAMOND,"Savita Arora",Parent,9765000129,savita.arora.129@paramountkasrawad.edu,2025-2026
PAK00130,Nisha,Farooqui,2-DIAMOND,"Pankaj Sahu",Guardian,9765000130,pankaj.sahu.130@paramountkasrawad.edu,2025-2026
PAK00131,Chetan,Sahu,2-DIAMOND,"Umesh Dhillon",Mother,9765000131,umesh.dhillon.131@paramountkasrawad.edu,2025-2026
PAK00132,Mohit,Mehta,2-DIAMOND,"Rajesh Qureshi",Father,9765000132,rajesh.qureshi.132@paramountkasrawad.edu,2025-2026
PAK00133,Neha,Upadhyay,2-DIAMOND,"Rekha Sahu",Father,9765000133,rekha.sahu.133@paramountkasrawad.edu,2025-2026
PAK00134,Arjun,Pillai,2-DIAMOND,"Nirmala Pillai",Parent,9765000134,nirmala.pillai.134@paramountkasrawad.edu,2025-2026
PAK00135,Nisha,Khan,2-DIAMOND,"Priya Dhillon",Guardian,9765000135,priya.dhillon.135@paramountkasrawad.edu,2025-2026
PAK00136,Uma,Malhotra,2-DIAMOND,"Arvind Pandey",Parent,9765000136,arvind.pandey.136@paramountkasrawad.edu,2025-2026
PAK00137,Sanjay,Khan,2-DIAMOND,"Nirmala Chauhan",Mother,9765000137,nirmala.chauhan.137@paramountkasrawad.edu,2025-2026
PAK00138,Anuj,Chopra,2-DIAMOND,"Suresh Sharma",Parent,9765000138,suresh.sharma.138@paramountkasrawad.edu,2025-2026
PAK00139,Yogesh,Yadav,2-DIAMOND,"Ramesh Sharma",Father,9765000139,ramesh.sharma.139@paramountkasrawad.edu,2025-2026
PAK00140,Laxmi,Kumar,2-DIAMOND,"Ashok Sharma",Parent,9765000140,ashok.sharma.140@paramountkasrawad.edu,2025-2026
PAK00141,Vijay,Rajak,3-RUBY,"Umesh Saxena",Father,9765000141,umesh.saxena.141@paramountkasrawad.edu,2025-2026
PAK00142,Tarun,Choudhary,3-RUBY,"Satish More",Mother,9765000142,satish.more.142@paramountkasrawad.edu,2025-2026
PAK00143,Ajay,Kumar,3-RUBY,"Ashok Rao",Father,9765000143,ashok.rao.143@paramountkasrawad.edu,2025-2026
PAK00144,Aryan,Koshal,3-RUBY,"Ramesh Kaur",Father,9765000144,ramesh.kaur.144@paramountkasrawad.edu,2025-2026
PAK00145,Aarav,Reddy,3-RUBY,"Rekha Reddy",Parent,9765000145,rekha.reddy.145@paramountkasrawad.edu,2025-2026
PAK00146,Om,Reddy,3-RUBY,"Satish Tiwari",Father,9765000146,satish.tiwari.146@paramountkasrawad.edu,2025-2026
PAK00147,Laxmi,Khatri,3-RUBY,"Geeta Shukla",Father,9765000147,geeta.shukla.147@paramountkasrawad.edu,2025-2026
PAK00148,Anjali,Kumar,3-RUBY,"Sanjeev Bhat",Guardian,9765000148,sanjeev.bhat.148@paramountkasrawad.edu,2025-2026
PAK00149,Zaid,Kaur,3-RUBY,"Kavita Kaur",Parent,9765000149,kavita.kaur.149@paramountkasrawad.edu,2025-2026
PAK00150,Nisha,Soni,3-RUBY,"Umesh Nair",Father,9765000150,umesh.nair.150@paramountkasrawad.edu,2025-2026
PAK00151,Ajay,Saxena,3-RUBY,"Sanjeev Reddy",Guardian,9765000151,sanjeev.reddy.151@paramountkasrawad.edu,2025-2026
PAK00152,Deepak,Trivedi,3-RUBY,"Gopal Shah",Guardian,9765000152,gopal.shah.152@paramountkasrawad.edu,2025-2026
PAK00153,Arjun,Kaur,3-RUBY,"Seema Khan",Father,9765000153,seema.khan.153@paramountkasrawad.edu,2025-2026
PAK00154,Ravi,Farooqui,3-RUBY,"Harish Rajak",Father,9765000154,harish.rajak.154@paramountkasrawad.edu,2025-2026
PAK00155,Saloni,Rajak,3-RUBY,"Priya Rao",Father,9765000155,priya.rao.155@paramountkasrawad.edu,2025-2026
PAK00156,Rohit,Khatri,3-RUBY,"Mahesh Sidhu",Mother,9765000156,mahesh.sidhu.156@paramountkasrawad.edu,2025-2026
PAK00157,Rakesh,Salve,3-RUBY,"Gopal Shukla",Father,9765000157,gopal.shukla.157@paramountkasrawad.edu,2025-2026
PAK00158,Ravi,Pandey,3-RUBY,"Naresh Chauhan",Parent,9765000158,naresh.chauhan.158@paramountkasrawad.edu,2025-2026
PAK00159,Bhavna,Dubey,3-RUBY,"Vinod Mishra",Mother,9765000159,vinod.mishra.159@paramountkasrawad.edu,2025-2026
PAK00160,Rakesh,Malhotra,3-RUBY,"Vinod Jadav",Father,9765000160,vinod.jadav.160@paramountkasrawad.edu,2025-2026
PAK00161,Heena,Patel,3-RUBY,"Harish Koshal",Mother,9765000161,harish.koshal.161@paramountkasrawad.edu,2025-2026
PAK00162,Jatin,Deshmukh,3-RUBY,"Anil Pandey",Father,9765000162,anil.pandey.162@paramountkasrawad.edu,2025-2026
PAK00163,Tushar,Mirza,3-RUBY,"Kishore Kaur",Parent,9765000163,kishore.kaur.163@paramountkasrawad.edu,2025-2026
PAK00164,Jagdish,Chaurasia,3-RUBY,"Anil Gaikwad",Mother,9765000164,anil.gaikwad.164@paramountkasrawad.edu,2025-2026
PAK00165,Anjali,Rao,3-RUBY,"Geeta Sidhu",Parent,9765000165,geeta.sidhu.165@paramountkasrawad.edu,2025-2026
PAK00166,Nisha,Rao,3-RUBY,"Ashok Farooqui",Mother,9765000166,ashok.farooqui.166@paramountkasrawad.edu,2025-2026
PAK00167,Ekta,Khatri,3-RUBY,"Bharat Qureshi",Father,9765000167,bharat.qureshi.167@paramountkasrawad.edu,2025-2026
PAK00168,Amita,Mehta,3-RUBY,"Savita Kumar",Parent,9765000168,savita.kumar.168@paramountkasrawad.edu,2025-2026
PAK00169,Nisha,More,3-RUBY,"Suresh Chandel",Parent,9765000169,suresh.chandel.169@paramountkasrawad.edu,2025-2026
PAK00170,Rahul,Sharma,3-RUBY,"Ramesh Rajput",Father,9765000170,ramesh.rajput.170@paramountkasrawad.edu,2025-2026
PAK00171,Priya,Koshal,3-RUBY,"Sanjeev Tiwari",Father,9765000171,sanjeev.tiwari.171@paramountkasrawad.edu,2025-2026
PAK00172,Priya,Koshal,3-RUBY,"Meena Koshal",Parent,9765000172,meena.koshal.172@paramountkasrawad.edu,2025-2026
PAK00173,Ravi,Chaurasia,3-RUBY,"Seema Deshmukh",Parent,9765000173,seema.deshmukh.173@paramountkasrawad.edu,2025-2026
PAK00174,Namrata,Khatri,3-RUBY,"Rekha Deshmukh",Parent,9765000174,rekha.deshmukh.174@paramountkasrawad.edu,2025-2026
PAK00175,Vaishnavi,Grewal,3-RUBY,"Priya Mehta",Parent,9765000175,priya.mehta.175@paramountkasrawad.edu,2025-2026
PAK00176,Omkar,Shah,3-DIAMOND,"Bharat Singh",Mother,9765000176,bharat.singh.176@paramountkasrawad.edu,2025-2026
PAK00177,Sanjeev,Bhat,3-DIAMOND,"Kishore Chaurasia",Parent,9765000177,kishore.chaurasia.177@paramountkasrawad.edu,2025-2026
PAK00178,Tushar,Pandey,3-DIAMOND,"Gopal More",Guardian,9765000178,gopal.more.178@paramountkasrawad.edu,2025-2026
PAK00179,Radha,Arora,3-DIAMOND,"Mahesh Pandey",Father,9765000179,mahesh.pandey.179@paramountkasrawad.edu,2025-2026
PAK00180,Mohit,Rajak,3-DIAMOND,"Sanjeev Grewal",Mother,9765000180,sanjeev.grewal.180@paramountkasrawad.edu,2025-2026
PAK00181,Gaurav,Chaurasia,3-DIAMOND,"Naresh Srivastava",Father,9765000181,naresh.srivastava.181@paramountkasrawad.edu,2025-2026
PAK00182,Jagdish,Shah,3-DIAMOND,"Harish Chopra",Guardian,9765000182,harish.chopra.182@paramountkasrawad.edu,2025-2026
PAK00183,Sunita,Jadav,3-DIAMOND,"Pankaj Chaurasia",Father,9765000183,pankaj.chaurasia.183@paramountkasrawad.edu,2025-2026
PAK00184,Radha,Rajak,3-DIAMOND,"Satish Joshi",Parent,9765000184,satish.joshi.184@paramountkasrawad.edu,2025-2026
PAK00185,Vijay,Desai,3-DIAMOND,"Geeta Pandey",Father,9765000185,geeta.pandey.185@paramountkasrawad.edu,2025-2026
PAK00186,Uma,Shukla,3-DIAMOND,"Arvind Khanna",Mother,9765000186,arvind.khanna.186@paramountkasrawad.edu,2025-2026
PAK00187,Uma,Bhat,3-DIAMOND,"Suresh Khanna",Father,9765000187,suresh.khanna.187@paramountkasrawad.edu,2025-2026
PAK00188,Rakesh,Mishra,3-DIAMOND,"Naresh Shukla",Mother,9765000188,naresh.shukla.188@paramountkasrawad.edu,2025-2026
PAK00189,Alok,Joshi,3-DIAMOND,"Bharat Yadav",Guardian,9765000189,bharat.yadav.189@paramountkasrawad.edu,2025-2026
PAK00190,Jatin,Kumar,3-DIAMOND,"Kavita Mehta",Mother,9765000190,kavita.mehta.190@paramountkasrawad.edu,2025-2026
PAK00191,Sunita,Soni,3-DIAMOND,"Meena Kaur",Guardian,9765000191,meena.kaur.191@paramountkasrawad.edu,2025-2026
PAK00192,Bhavna,Soni,3-DIAMOND,"Suresh Saxena",Mother,9765000192,suresh.saxena.192@paramountkasrawad.edu,2025-2026
PAK00193,Nisha,Saxena,3-DIAMOND,"Suresh Sahu",Guardian,9765000193,suresh.sahu.193@paramountkasrawad.edu,2025-2026
PAK00194,Sneha,Khan,3-DIAMOND,"Geeta Bhat",Mother,9765000194,geeta.bhat.194@paramountkasrawad.edu,2025-2026
PAK00195,Arjun,Deshmukh,3-DIAMOND,"Umesh Sharma",Parent,9765000195,umesh.sharma.195@paramountkasrawad.edu,2025-2026
